"","id","gender","heightmetre","trainingProgram","programAnnualCost","lastfitnessscore","date","Weight","BMI","CaloriesIn","CaloriesBurned","Steps","DistanceMiles","Floors","MinutesLightlyActive","MinutesFairlyActive","MinutesVeryActive","ActivityCalories","MinutesAsleep","MinutesAwake","TimeinBed","MinutesREMSleep","MinutesLightSleep","MinutesDeepSleep","WaterConsumedOz","RestingHeartBpm","MaxHeartBpm","MinHeartBpm","AvgHeartBpm","ActivityMinutes","TimesStepsCompleteHr"
"40",100,"f",1.68,"program1",300,800,"7/19/2017",181,29,1189,1032,3539,1,35,23,52,22,1340,467,103,196,66,269,81,21,86,155,74,76,173,10
"41",100,"f",1.68,"program1",300,800,"7/8/2017",134,19,1213,1731,4237,9,21,18,14,40,1201,398,84,96,76,134,101,50,83,129,78,93,151,2
"42",100,"f",1.68,"program1",300,800,"1/13/2017",208,22,1922,2893,6157,9,50,21,37,70,115,340,66,100,79,88,53,45,91,111,88,84,151,5
"43",100,"f",1.68,"program1",300,800,"5/27/2017",132,26,1808,2741,6603,5,36,47,27,64,552,396,8,459,103,153,61,42,91,72,78,97,168,1
"44",100,"f",1.68,"program1",300,800,"5/20/2017",260,18,1688,2479,1932,6,42,8,60,80,743,152,55,55,12,94,108,8,80,124,91,116,149,2
"45",100,"f",1.68,"program1",300,800,"2/16/2017",287,27,1419,2991,1459,4,1,77,88,84,1381,445,87,245,15,282,110,58,84,149,96,71,169,8
"46",100,"f",1.68,"program1",300,800,"9/8/2017",246,24,1908,2719,2867,1,10,39,98,40,1467,143,14,216,25,219,21,71,98,200,72,83,125,1
"47",100,"f",1.68,"program1",300,800,"7/2/2017",289,15,1181,2174,2937,2,19,38,67,91,859,480,48,142,42,98,18,72,91,174,96,104,135,6
"48",100,"f",1.68,"program1",300,800,"3/10/2017",125,19,1639,2263,8424,8,29,99,92,60,1082,217,60,308,111,281,101,28,97,170,99,110,148,10
"49",100,"f",1.68,"program1",300,800,"10/8/2017",125,30,1313,1377,3847,1,44,24,64,26,1229,177,27,43,51,31,64,64,85,89,99,113,59,8
"50",100,"f",1.68,"program1",300,800,"8/24/2017",232,29,1000,2985,1985,1,13,55,8,36,720,343,108,142,120,263,12,43,78,94,75,90,86,12
"51",100,"f",1.68,"program1",300,800,"8/10/2017",141,15,1720,1930,186,3,49,65,16,72,1249,157,58,352,12,177,39,38,97,115,78,105,137,12
"52",100,"f",1.68,"program1",300,800,"9/28/2017",252,17,1106,2022,6627,9,20,6,58,29,1214,444,40,296,39,287,96,42,76,72,95,78,87,12
"53",100,"f",1.68,"program1",300,800,"11/1/2017",237,24,1982,1928,5053,8,16,73,70,92,439,136,82,427,104,27,10,31,81,129,77,85,67,5
"54",100,"f",1.68,"program1",300,800,"7/14/2017",244,21,1271,2241,363,3,4,86,50,2,1108,402,29,459,16,44,90,27,79,105,77,76,57,9
"55",100,"f",1.68,"program1",300,800,"3/10/2017",226,16,1340,1267,3160,4,20,47,96,80,1145,400,81,144,35,25,86,41,83,76,80,97,128,7
"56",100,"f",1.68,"program1",300,800,"7/4/2017",260,16,1744,2230,7183,4,3,48,22,79,1287,273,13,130,46,65,84,58,97,152,74,84,119,5
"57",100,"f",1.68,"program1",300,800,"12/5/2017",107,21,1999,2362,7479,2,23,91,30,13,1201,415,29,54,113,155,20,12,78,149,70,113,37,5
"58",100,"f",1.68,"program1",300,800,"4/2/2017",106,17,1967,1308,4738,6,45,65,3,45,1016,346,46,239,110,291,17,57,80,136,93,82,142,11
"59",100,"f",1.68,"program1",300,800,"9/24/2017",162,30,1895,1503,2245,2,11,90,88,36,1335,383,14,359,88,61,92,35,77,132,82,92,72,9
"60",100,"f",1.68,"program1",300,800,"12/26/2017",276,29,1361,2018,5947,6,2,52,89,42,244,467,120,267,111,127,88,63,98,161,91,75,53,1
"61",100,"f",1.68,"program1",300,800,"10/1/2017",185,30,1602,2378,6663,4,46,72,12,1,365,123,93,452,70,60,105,72,71,76,87,104,74,10
"62",100,"f",1.68,"program1",300,800,"2/16/2017",238,22,1328,2956,289,8,50,82,86,85,764,302,102,53,48,47,99,72,70,75,76,99,149,9
"63",100,"f",1.68,"program1",300,800,"9/12/2017",251,26,1750,2492,4240,5,19,81,69,55,1106,269,104,423,93,222,101,32,99,111,96,93,174,3
"64",100,"f",1.68,"program1",300,800,"2/23/2017",132,20,1857,2775,7003,6,16,61,28,70,939,367,33,401,27,63,52,25,87,79,95,94,75,1
"65",100,"f",1.68,"program1",300,800,"9/27/2017",133,18,1932,2659,4714,7,38,81,43,52,401,266,66,109,64,102,15,61,85,176,79,116,115,5
"66",100,"f",1.68,"program1",300,800,"3/13/2017",191,16,1669,2285,5662,10,8,39,70,47,1146,426,104,267,67,41,61,31,86,150,79,92,50,8
"67",100,"f",1.68,"program1",300,800,"5/15/2017",277,24,1271,1372,2297,3,7,59,84,59,1493,367,99,36,38,13,61,70,78,197,97,91,58,12
"68",100,"f",1.68,"program1",300,800,"4/3/2017",202,17,1119,1876,4499,7,32,96,88,98,265,300,76,376,8,78,82,79,93,112,97,108,59,9
"69",100,"f",1.68,"program1",300,800,"5/30/2017",128,22,1076,1843,6587,3,15,22,21,11,1465,442,7,262,35,69,29,41,75,137,91,88,44,2
"70",100,"f",1.68,"program1",300,800,"3/25/2017",156,21,1809,2936,9060,1,36,6,60,32,237,221,78,30,91,215,48,76,86,117,76,107,93,4
"71",100,"f",1.68,"program1",300,800,"7/10/2017",167,28,1328,1204,5740,6,20,20,78,38,213,195,47,323,35,157,79,78,86,151,95,111,49,8
"72",100,"f",1.68,"program1",300,800,"1/30/2017",160,28,1512,2547,6545,6,41,90,25,99,438,437,19,409,53,138,92,55,87,98,91,94,107,8
"73",100,"f",1.68,"program1",300,800,"11/16/2017",239,19,1144,1606,5752,4,48,99,59,63,721,163,82,80,107,50,104,71,90,168,90,107,110,3
"74",100,"f",1.68,"program1",300,800,"11/28/2017",158,18,1902,2811,9503,8,34,33,81,64,671,310,112,272,30,159,105,32,87,121,72,111,79,3
"75",100,"f",1.68,"program1",300,800,"8/29/2017",175,19,1965,2206,8524,8,31,88,63,37,1146,353,47,458,69,220,19,57,83,181,99,97,53,2
"76",100,"f",1.68,"program1",300,800,"8/28/2017",223,22,1738,1536,8822,6,40,30,47,71,1332,136,72,341,106,179,29,52,93,121,92,77,108,2
"77",100,"f",1.68,"program1",300,800,"2/11/2017",144,20,1840,2685,4870,8,44,17,16,64,1069,155,31,37,97,197,94,50,85,191,100,117,40,3
"78",100,"f",1.68,"program1",300,800,"10/4/2017",199,30,1876,2988,6016,6,27,55,67,38,1222,145,17,165,97,212,109,37,88,102,98,75,71,1
"79",100,"f",1.68,"program1",300,800,"10/9/2017",199,27,1718,2868,6252,6,45,72,12,87,535,309,34,450,30,175,86,20,74,103,73,108,175,12
"80",100,"f",1.68,"program1",300,800,"5/29/2017",168,29,1618,2899,8398,4,25,48,13,94,1266,420,114,92,103,198,92,17,100,88,75,96,165,5
"81",100,"f",1.68,"program1",300,800,"9/18/2017",137,29,1651,2427,415,4,36,38,80,32,852,238,23,180,30,105,61,11,83,80,92,93,91,5
"82",100,"f",1.68,"program1",300,800,"6/20/2017",141,30,1192,2665,5596,10,35,95,10,76,1423,313,72,80,101,188,9,9,79,105,73,117,153,9
"83",100,"f",1.68,"program1",300,800,"7/21/2017",195,16,1462,2278,4494,7,15,45,59,23,982,399,87,420,76,192,101,79,76,185,88,98,83,8
"84",100,"f",1.68,"program1",300,800,"6/12/2017",289,15,1764,2978,6829,4,16,73,68,85,384,336,26,20,119,117,77,11,75,180,96,109,141,1
"85",100,"f",1.68,"program1",300,800,"4/22/2017",135,17,1220,1030,8478,9,40,65,91,42,526,318,23,334,81,209,71,46,96,124,87,75,138,9
"86",100,"f",1.68,"program1",300,800,"10/1/2017",249,18,1982,1454,5246,1,15,46,29,75,923,212,89,250,116,297,117,48,86,193,71,105,49,12
"87",100,"f",1.68,"program1",300,800,"7/13/2017",169,28,1355,2280,3742,1,46,48,93,50,822,390,92,408,12,106,9,74,81,134,100,119,158,4
"88",100,"f",1.68,"program1",300,800,"2/3/2017",299,26,1851,2227,8296,8,2,51,1,78,334,235,53,110,18,18,72,64,79,105,80,89,85,4
"89",100,"f",1.68,"program1",300,800,"6/13/2017",194,19,1919,1645,170,1,27,76,34,90,482,458,22,112,38,283,80,48,80,72,77,91,43,7
"90",100,"f",1.68,"program1",300,800,"1/18/2017",258,18,1477,2237,7158,7,18,88,62,93,1218,155,30,210,78,41,26,25,98,118,96,111,130,9
"91",100,"f",1.68,"program1",300,800,"3/23/2017",286,18,1933,1667,215,5,38,35,22,49,841,121,39,65,31,280,66,41,88,175,70,81,42,8
"92",100,"f",1.68,"program1",300,800,"1/13/2017",161,20,1404,2094,3629,6,9,83,73,84,876,220,35,436,56,265,109,23,92,183,91,100,151,2
"93",100,"f",1.68,"program1",300,800,"6/16/2017",105,20,1223,3000,6782,4,1,55,61,55,127,458,103,326,60,110,99,59,97,85,99,79,178,11
"94",100,"f",1.68,"program1",300,800,"3/10/2017",156,17,1867,1046,2463,2,16,50,94,64,1330,299,59,102,32,288,104,54,77,150,100,91,86,8
"95",100,"f",1.68,"program1",300,800,"7/31/2017",254,26,1977,1918,965,2,1,53,10,14,393,320,39,373,63,146,42,16,70,118,72,83,66,7
"96",100,"f",1.68,"program1",300,800,"12/30/2017",148,17,1442,2297,1330,4,11,28,16,97,1019,368,108,12,14,19,74,12,74,159,96,120,33,2
"97",100,"f",1.68,"program1",300,800,"9/1/2017",126,17,1231,1370,1943,8,46,1,88,80,948,404,117,62,91,151,85,8,82,163,99,98,126,10
"98",100,"f",1.68,"program1",300,800,"11/20/2017",162,17,1963,2751,8646,6,37,37,18,70,215,369,89,104,57,165,116,53,81,140,85,103,54,6
"99",100,"f",1.68,"program1",300,800,"5/15/2017",288,30,1943,2453,6557,2,29,54,89,16,360,386,78,302,47,80,10,29,82,140,72,97,102,1
"100",100,"f",1.68,"program1",300,800,"11/22/2017",276,23,1175,1697,7491,9,40,29,12,8,1447,314,88,25,99,196,110,76,99,176,72,80,106,1
"101",100,"f",1.68,"program1",300,800,"12/10/2017",170,16,1179,2812,4782,10,5,97,39,46,1303,229,35,251,82,127,38,77,75,179,89,115,69,9
"102",100,"f",1.68,"program1",300,800,"6/11/2017",152,19,1827,2831,9046,4,4,77,26,57,493,164,67,96,67,53,91,44,75,163,74,79,61,7
"103",100,"f",1.68,"program1",300,800,"10/24/2017",177,23,1942,1015,453,3,3,36,66,70,195,214,86,230,6,169,66,42,89,81,91,106,93,9
"104",100,"f",1.68,"program1",300,800,"8/9/2017",210,20,1430,2339,7409,2,15,1,60,63,241,417,34,99,110,226,17,49,95,183,94,87,58,4
"105",100,"f",1.68,"program1",300,800,"12/11/2017",179,30,1371,2634,5659,3,1,56,69,3,696,121,102,169,73,237,100,48,94,189,98,116,93,2
"106",100,"f",1.68,"program1",300,800,"3/9/2017",181,24,1793,2855,72,6,45,97,5,54,557,171,78,58,67,165,100,53,80,112,82,116,177,11
"107",100,"f",1.68,"program1",300,800,"2/1/2017",143,26,1162,2247,7668,10,19,28,45,44,1356,325,55,101,54,135,36,12,96,146,77,91,52,9
"108",100,"f",1.68,"program1",300,800,"2/27/2017",243,16,1441,1614,9225,3,33,94,7,2,1034,273,60,312,87,22,117,79,78,133,86,102,87,8
"109",100,"f",1.68,"program1",300,800,"2/14/2017",153,17,1601,2467,7544,4,12,95,43,90,1370,392,77,9,31,13,90,65,77,97,76,97,132,10
"110",100,"f",1.68,"program1",300,800,"3/16/2017",110,21,1016,1631,4317,3,45,41,19,54,608,163,100,6,85,148,16,54,84,125,91,103,178,1
"111",100,"f",1.68,"program1",300,800,"5/7/2017",205,30,1489,2805,4514,5,40,85,94,75,964,135,88,247,103,63,34,17,83,71,76,75,105,5
"112",100,"f",1.68,"program1",300,800,"10/30/2017",249,25,1774,1964,2082,5,37,33,8,16,442,271,115,399,19,77,32,64,99,118,72,108,66,6
"113",100,"f",1.68,"program1",300,800,"7/10/2017",110,22,1573,2042,14,3,14,29,52,49,1266,369,99,258,112,235,110,30,88,98,74,112,118,6
"114",100,"f",1.68,"program1",300,800,"2/11/2017",205,28,1628,1711,9244,9,7,92,77,99,1292,474,54,32,39,224,53,16,90,117,93,90,55,11
"115",100,"f",1.68,"program1",300,800,"8/27/2017",242,22,1120,1877,7380,1,43,26,83,72,277,173,42,404,18,112,13,31,90,200,92,100,166,3
"116",100,"f",1.68,"program1",300,800,"6/3/2017",177,18,1011,2316,1057,7,5,68,35,19,726,446,81,462,117,217,53,43,95,172,75,109,55,8
"117",100,"f",1.68,"program1",300,800,"3/2/2017",269,28,1962,1708,1349,3,25,51,17,37,427,472,31,54,96,137,35,10,78,102,79,117,115,8
"118",100,"f",1.68,"program1",300,800,"5/13/2017",172,16,1622,2491,4456,1,17,81,22,10,632,336,62,196,99,175,12,47,99,163,74,114,93,1
"119",100,"f",1.68,"program1",300,800,"8/18/2017",236,16,1021,2471,7986,1,21,2,80,96,173,340,27,445,50,146,18,65,70,157,80,91,129,9
"120",100,"f",1.68,"program1",300,800,"4/13/2017",195,27,1515,1544,6334,1,34,36,21,34,1015,176,119,205,112,267,116,48,71,171,85,113,102,11
"121",100,"f",1.68,"program1",300,800,"10/26/2017",119,22,1672,2978,6435,1,9,84,80,53,561,473,120,50,7,269,31,45,86,79,100,78,137,12
"122",100,"f",1.68,"program1",300,800,"7/27/2017",170,21,1274,1303,7342,8,7,93,42,17,888,145,50,149,79,156,27,74,92,196,73,93,45,1
"123",100,"f",1.68,"program1",300,800,"2/14/2017",115,21,1256,1848,8663,9,24,8,20,41,651,212,50,434,55,38,73,38,73,101,94,103,33,2
"124",100,"f",1.68,"program1",300,800,"12/2/2017",262,21,1229,1504,7388,3,26,53,15,65,1142,178,15,147,80,223,66,26,96,163,97,99,121,11
"125",100,"f",1.68,"program1",300,800,"10/16/2017",190,20,1547,2137,848,10,11,36,43,7,1489,265,93,298,17,68,45,63,83,96,86,115,141,4
"126",100,"f",1.68,"program1",300,800,"10/13/2017",180,18,1520,1527,4041,5,14,54,14,32,311,206,68,394,64,194,23,22,84,159,91,117,41,6
"127",100,"f",1.68,"program1",300,800,"3/20/2017",300,23,1747,1517,1368,7,37,79,80,96,905,162,53,59,17,227,119,20,99,191,84,101,143,12
"128",100,"f",1.68,"program1",300,800,"1/25/2017",168,25,1938,2608,206,7,23,98,64,29,741,226,99,76,19,39,80,66,73,94,84,87,153,5
"129",100,"f",1.68,"program1",300,800,"12/19/2017",298,22,1532,2210,3297,9,33,20,91,1,722,421,18,47,117,159,44,73,78,70,84,115,117,9
"130",100,"f",1.68,"program1",300,800,"3/4/2017",130,20,1234,2099,8500,3,45,12,27,29,1053,234,91,133,64,86,67,70,88,72,83,109,86,8
"131",100,"f",1.68,"program1",300,800,"9/24/2017",285,29,1558,2040,4828,9,37,74,84,52,1490,141,67,394,50,33,86,11,100,184,80,107,156,7
"132",100,"f",1.68,"program1",300,800,"5/16/2017",108,15,1735,1014,1158,10,6,37,78,82,1368,232,50,217,13,11,52,52,82,181,72,101,132,4
"133",100,"f",1.68,"program1",300,800,"6/12/2017",142,21,1969,2889,2533,3,37,89,76,34,966,455,62,167,111,63,29,25,80,152,89,77,116,5
"134",100,"f",1.68,"program1",300,800,"9/21/2017",275,25,1300,1227,2381,9,18,75,77,37,521,281,95,96,95,297,106,32,96,134,85,80,101,1
"135",100,"f",1.68,"program1",300,800,"1/17/2017",129,25,1071,1135,8482,4,41,19,92,3,208,444,60,365,43,113,94,23,79,140,81,82,46,2
"136",100,"f",1.68,"program1",300,800,"7/3/2017",258,27,1658,2151,451,6,50,69,16,60,119,460,34,178,20,115,119,77,77,173,88,76,144,4
"137",100,"f",1.68,"program1",300,800,"4/16/2017",291,21,1739,1159,9617,1,38,83,93,84,974,271,71,424,22,119,31,73,73,147,72,110,68,11
"138",100,"f",1.68,"program1",300,800,"3/24/2017",250,26,1396,2076,5838,8,14,74,14,79,840,454,39,388,80,86,79,31,75,140,99,110,63,8
"139",100,"f",1.68,"program1",300,800,"8/10/2017",247,19,1058,2685,8000,5,31,66,67,82,1261,172,72,40,108,100,60,78,77,93,83,113,88,7
"140",100,"f",1.68,"program1",300,800,"8/20/2017",159,24,1996,1747,7949,9,45,82,48,23,483,203,45,394,44,45,31,17,96,108,87,99,30,10
"141",100,"f",1.68,"program1",300,800,"9/22/2017",211,24,1299,2681,7678,2,19,33,3,36,758,268,72,24,16,146,89,60,78,72,85,72,71,1
"142",100,"f",1.68,"program1",300,800,"11/25/2017",199,21,1696,2356,1128,10,23,30,24,10,1100,448,54,17,17,155,41,61,86,199,96,86,131,4
"143",100,"f",1.68,"program1",300,800,"10/19/2017",243,24,1927,2114,705,3,3,12,43,70,864,252,28,20,28,260,22,57,72,156,92,76,101,4
"144",100,"f",1.68,"program1",300,800,"8/17/2017",297,30,1925,2933,1578,8,30,33,34,86,170,325,82,435,98,295,33,41,91,114,82,91,151,6
"145",100,"f",1.68,"program1",300,800,"4/2/2017",254,23,1100,1930,6750,2,31,97,85,22,956,255,82,233,113,8,22,30,81,129,94,84,100,3
"146",100,"f",1.68,"program1",300,800,"1/19/2017",222,26,1944,2823,6447,6,26,62,26,94,1172,186,80,260,102,269,60,75,100,75,72,77,96,8
"147",100,"f",1.68,"program1",300,800,"1/10/2017",137,30,1921,2844,6746,9,14,13,82,21,878,165,65,134,62,33,78,53,85,176,88,80,139,9
"148",100,"f",1.68,"program1",300,800,"3/22/2017",132,29,1835,2684,5025,6,7,56,1,64,1371,294,73,422,74,22,85,60,84,86,94,111,175,6
"149",100,"f",1.68,"program1",300,800,"10/20/2017",195,29,1742,1630,5368,10,15,19,97,88,149,130,34,254,35,74,10,68,85,129,98,97,173,6
"150",100,"f",1.68,"program1",300,800,"2/16/2017",247,22,1378,2308,6847,8,6,54,85,29,1346,264,23,255,35,188,79,80,82,138,95,105,132,6
"151",100,"f",1.68,"program1",300,800,"1/9/2017",238,24,1992,2308,9246,1,16,35,65,18,1194,299,103,473,76,59,67,61,89,100,72,113,43,9
"152",100,"f",1.68,"program1",300,800,"3/15/2017",111,26,1825,1374,1926,1,45,41,29,94,617,453,31,393,111,51,45,33,71,109,71,98,160,11
"153",100,"f",1.68,"program1",300,800,"12/3/2017",182,16,1472,1977,3486,9,32,9,51,44,1084,397,98,266,86,290,23,16,76,167,88,115,109,3
"154",100,"f",1.68,"program1",300,800,"6/26/2017",185,30,1775,1127,6750,5,50,72,46,24,192,466,12,367,37,99,18,80,72,149,73,74,70,10
"155",100,"f",1.68,"program1",300,800,"10/13/2017",227,15,1214,1519,1757,10,21,88,45,95,1421,134,103,187,31,295,33,11,98,122,77,79,133,2
"156",100,"f",1.68,"program1",300,800,"11/22/2017",261,29,1959,2346,7183,6,24,25,98,48,467,131,115,386,89,150,11,40,81,165,71,97,137,9
"157",100,"f",1.68,"program1",300,800,"2/23/2017",133,25,1774,2358,6841,9,14,99,45,89,645,406,20,71,80,185,60,62,85,85,74,106,156,12
"158",100,"f",1.68,"program1",300,800,"10/10/2017",230,16,1709,2939,2913,9,1,30,85,22,574,395,18,96,96,141,94,43,74,103,100,88,48,10
"159",100,"f",1.68,"program1",300,800,"10/9/2017",285,20,1597,1275,362,4,19,41,3,74,1355,237,91,260,55,237,98,75,92,104,83,93,144,1
"160",100,"f",1.68,"program1",300,800,"6/18/2017",252,24,1655,1385,9096,9,41,94,86,94,844,390,58,468,67,92,10,12,77,155,83,70,85,8
"161",100,"f",1.68,"program1",300,800,"1/12/2017",180,17,1708,2790,2097,4,32,99,16,53,1460,344,89,171,54,133,12,39,78,149,85,92,50,3
"162",100,"f",1.68,"program1",300,800,"10/14/2017",122,15,1301,2670,3191,9,16,70,37,95,1028,124,89,33,92,292,77,42,85,113,78,78,127,10
"163",100,"f",1.68,"program1",300,800,"8/26/2017",119,17,1499,1413,9712,3,2,62,45,6,909,136,112,237,21,265,14,28,92,75,98,71,130,11
"164",100,"f",1.68,"program1",300,800,"9/17/2017",216,24,1104,1975,8139,9,43,95,59,63,501,388,69,14,65,148,110,78,75,193,99,85,63,11
"165",100,"f",1.68,"program1",300,800,"8/31/2017",209,29,1153,1909,9891,7,30,38,4,19,492,222,115,16,54,289,7,79,84,167,93,96,153,5
"166",100,"f",1.68,"program1",300,800,"10/2/2017",215,24,1432,2825,7525,5,22,71,71,71,1251,156,45,283,49,167,104,50,89,122,92,103,116,10
"167",100,"f",1.68,"program1",300,800,"10/11/2017",231,22,1648,1984,1229,10,33,8,58,68,364,308,101,349,90,286,117,59,71,189,96,98,64,7
"168",100,"f",1.68,"program1",300,800,"12/10/2017",161,17,1342,1429,5567,10,47,88,12,77,865,313,18,147,100,34,40,30,88,159,95,109,95,3
"169",100,"f",1.68,"program1",300,800,"6/5/2017",157,30,1513,2375,6448,9,30,70,40,28,1180,394,79,411,47,7,94,62,94,179,91,94,119,1
"170",100,"f",1.68,"program1",300,800,"8/29/2017",198,17,1425,2346,3551,6,30,35,17,56,691,323,38,199,52,260,33,9,70,113,72,112,41,3
